,Video_Title,View_Count,Like_Count,Comment_Count
0,Where to find the Best Healthcare Data,3870,244,15
1,1 Million Subscriber Livestream!! Giveaways + Chat,9302,672,68
2,"Taking a look at Real Healthcare Data | ICD11, CPT, HCPCS, Claims",5734,310,24
3,How to Become a Healthcare Analyst in 2025,17644,973,69
4,What is Healthcare Analytics?,19778,1107,70
5,What is Data Cleaning? | Data Fundamentals for Beginners,10868,492,23
6,What is Data Collection? | Data Fundamentals for Beginners,7763,375,13
7,What are File Types? | Data Fundamentals for Beginners,6432,266,11
8,What are Data Types? | Data Fundamentals for Beginners,7389,341,18
9,What are KPIs and Metrics? | Data Fundamental for Beginners,12481,730,30
10,What is Data? | Data Fundamentals for Beginners,11926,685,29
11,Is Big Tech Overrated in 2025? | Alex The Analyst Show Episode 28,8326,291,65
12,Most Commonly Asked Questions by Aspiring Data Analysts,13212,667,34
13,My Career Progression 7+ Years | Recreational Therapist to Data Analyst | Alex The Analyst Show 27,7809,344,117
14,"Ultimate Data Analyst Bootcamp [24 Hours!] for FREE | SQL, Excel, Tableau, Power BI, Python, Azure",343248,17477,620
15,"Learn AWS for Analytics in Under 2 Hours | S3, Athena, Glue, Glue DataBrew, Quicksight",13268,457,30
16,"Learn Azure for Analytics in Under 90 Minutes | Azure Synapse Analytics, SQL Databases, ADF + More",11319,297,21
17,"Learn Power BI in Under 3 Hours | Formatting, Visualizations, Dashboards + Full Project",129539,2582,111
18,Coding with R and AI Now on Analyst Builder!,5409,176,16
19,"Learn Tableau in Under 2 hours | Dashboards, Relationships, Visualizations + Mini Project",54657,1226,51
20,"Learn Excel in Under 3 Hours | Pivot Tables, Lookups, Data Cleaning",45878,1334,57
21,Nobody cares... so just do it!,15902,1653,58
22,"Learn Pandas in Under 3 Hours | Filtering, Joins, Indexing, Data Cleaning, Visualizations",40080,1122,41
23,Free Data Analyst Bootcamp 2024,9698,905,37
24,"Learn Python in Under 3 Hours | Variables, For Loops, Web Scraping + Full Project",36619,1150,38
25,Learn SQL Beginner to Advanced in Under 4 Hours,387837,10261,390
26,AWS Quicksight | AWS Essentials,14084,234,8
27,AWS Glue DataBrew and Glue | AWS Essentials,7059,138,11
28,Amazon Athena in AWS | AWS Fundamentals,10546,209,9
29,Alex Freberg and Ben Rogojan Livestream | Everything Data Analytics and Data Engineering,5872,197,8
30,Landing a Data Job Course on Analyst Builder,23628,818,96
31,S3 Storage in AWS | AWS Essentials,7690,170,13
32,AWS Setup and UI Walkthough | AWS,9180,257,15
33,Getting Started in Azure Synapse Analytics | Azure Fundamentals,19907,294,14
34,August Q/A Livestream! Come Ask Me Anything!,5281,222,17
35,Getting Started in Azure Data Factory | Azure Fundamentals,24081,403,22
36,How to use Azure SQL Databases | Azure Fundamentals,29138,558,20
37,Complete Data Analyst Roadmap on Analyst Builder | Become a Data Analyst Faster!,52217,1495,161
38,Blob Storage and Storage Accounts in Azure | Azure Fundamentals,9967,198,10
39,Azure Account Setup + $200 Free Credits | Azure Fundamentals,17553,420,29
40,Building a Fully Interactive Web App using Shiny for Python,13195,357,24
41,Shiny for Python Components and Layouts | Customizing You Web App,5528,157,10
42,Shiny for Python Setup and Install | Deploying First Shiny App,11864,303,36
43,Is the Economy on the Brink of a Recession? | Let's Look at the Data!,12891,760,130
44,Top 5 Most Common Excel Functions in Excel,8506,373,9
45,5 Awesome Excel Functions You've Probably Never Heard Of,6042,237,17
46,How to Create Custom Functions in Excel | Lambda Functions,6547,224,10
47,Top 5 Most Popular Functions In Microsoft Excel,15576,444,27
48,Infrastructure of Analyst Builder | Entire Tech Stack | Part 3,5459,88,10
