video_id,title,published_at,views,likes,comments,tags,duration_seconds
xb5-UX-jYw0,How to Lie with Data | Averages,2025-04-08T12:01:32Z,2970,168,11,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",407
V3ouFOBQP0k,How to Lie with Data | Percentages and Baseline Numbers,2025-04-01T12:00:46Z,3688,181,8,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",318
oi9W142ELN0,1 Million YouTube Play Button Unboxing!,2025-03-25T12:01:10Z,2668,222,76,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",460
5n52mlp9Ym0,Maven Analytics + Analyst Builder Lifetime Access (Ends March 31st),2025-03-24T12:00:07Z,7654,244,40,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",315
hgp91KvbJV4,How to Lie with Data | Misleading Graphs,2025-03-18T12:01:07Z,4676,265,22,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",326
1ql4kNv0_qY,Where to find the Best Healthcare Data,2025-03-11T12:00:02Z,6197,347,22,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",471
r5512UY3MTc,1 Million Subscriber Livestream!! Giveaways + Chat,2025-03-05T17:07:10Z,9771,675,68,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",6014
XuOcmjIbFGg,"Taking a look at Real Healthcare Data | ICD11, CPT, HCPCS, Claims",2025-03-04T13:00:44Z,7012,351,27,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",916
Ka2mDrKEAhg,How to Become a Healthcare Analyst in 2025,2025-02-25T13:00:21Z,20818,1096,78,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",1072
k8nBWL6K884,What is Healthcare Analytics?,2025-02-18T13:01:11Z,21952,1174,74,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",656
WpX2F2BS3Qc,What is Data Cleaning? | Data Fundamentals for Beginners,2025-02-11T13:00:47Z,14507,592,24,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",424
cd_jj0IRmaA,What is Data Collection? | Data Fundamentals for Beginners,2025-02-04T13:00:52Z,9411,430,13,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",283
OcG0B4ny1cE,What are File Types? | Data Fundamentals for Beginners,2025-01-28T13:00:34Z,7296,297,11,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",387
hXpt8zj_ajc,What are Data Types? | Data Fundamentals for Beginners,2025-01-21T13:00:55Z,8293,363,18,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",294
ItZlTixh6Bs,What are KPIs and Metrics? | Data Fundamental for Beginners,2025-01-14T13:00:34Z,14026,782,30,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",346
PEWMgtu-1e4,What is Data? | Data Fundamentals for Beginners,2025-01-07T13:00:35Z,13842,744,29,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",416
hCmEfxy-BXg,Is Big Tech Overrated in 2025? | Alex The Analyst Show Episode 28,2024-12-31T13:01:01Z,8492,294,65,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",2092
TtCBz1lutsY,Most Commonly Asked Questions by Aspiring Data Analysts,2024-12-24T13:00:39Z,13895,688,35,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",718
Ihmq-qeA5Pc,My Career Progression 7+ Years | Recreational Therapist to Data Analyst | Alex The Analyst Show 27,2024-12-17T13:30:12Z,8081,354,120,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",2237
wQQR60KtnFY,"Ultimate Data Analyst Bootcamp [24 Hours!] for FREE | SQL, Excel, Tableau, Power BI, Python, Azure",2024-12-10T05:00:49Z,422006,20125,704,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'Data analyst bootcamp', 'free data analyst bootcamp', 'data bootcamp', 'sql bootcamp', 'python bootcamp', 'excel bootcamp', 'bootcamp']",84768
oHte3qFa-oY,"Learn AWS for Analytics in Under 2 Hours | S3, Athena, Glue, Glue DataBrew, Quicksight",2024-12-03T13:00:56Z,15746,528,33,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",6097
P7p2OZj9ewU,"Learn Azure for Analytics in Under 90 Minutes | Azure Synapse Analytics, SQL Databases, ADF + More",2024-11-26T13:00:27Z,12517,320,21,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",4637
I0vQ_VLZTWg,"Learn Power BI in Under 3 Hours | Formatting, Visualizations, Dashboards + Full Project",2024-11-19T13:00:31Z,178232,3288,132,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",7518
tnz72ywhCoo,Coding with R and AI Now on Analyst Builder!,2024-11-12T13:01:10Z,5622,181,16,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",501
j8FSP8XuFyk,"Learn Tableau in Under 2 hours | Dashboards, Relationships, Visualizations + Mini Project",2024-11-05T13:01:16Z,72525,1501,57,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",5410
zXnQNytHCPM,"Learn Excel in Under 3 Hours | Pivot Tables, Lookups, Data Cleaning",2024-10-29T12:01:19Z,51877,1427,66,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",9516
osA1QpBcxRs,Nobody cares... so just do it!,2024-10-24T12:17:57Z,16741,1711,58,[],36
Mdq1WWSdUtw,"Learn Pandas in Under 3 Hours | Filtering, Joins, Indexing, Data Cleaning, Visualizations",2024-10-22T12:00:28Z,48380,1286,44,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",9607
CZt2BUpgjgw,Free Data Analyst Bootcamp 2024,2024-10-17T11:52:50Z,10462,948,39,[],31
t1fQBD4B7xk,"Learn Python in Under 3 Hours | Variables, For Loops, Web Scraping + Full Project",2024-10-15T12:01:10Z,39948,1206,40,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",9121
OT1RErkfLNQ,Learn SQL Beginner to Advanced in Under 4 Hours,2024-10-08T12:00:27Z,485762,12010,468,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",14698
rxyLC247h6E,AWS Quicksight | AWS Essentials,2024-10-01T12:00:58Z,16395,259,9,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",730
AycpRKyRagE,AWS Glue DataBrew and Glue | AWS Essentials,2024-09-24T12:00:16Z,7827,147,12,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'aws glue', 'aws glue databrew', 'glue', 'glue aws', 'glue tutorial']",2732
K2GfrERtliU,Amazon Athena in AWS | AWS Fundamentals,2024-09-17T12:00:24Z,11836,231,10,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'aws athena', 'athena', 'athena tutorial']",1473
xmVyaT-RuVo,Alex Freberg and Ben Rogojan Livestream | Everything Data Analytics and Data Engineering,2024-09-11T03:20:13Z,5902,198,8,[],4516
amb9bciHGSI,Landing a Data Job Course on Analyst Builder,2024-09-03T12:00:05Z,23734,823,96,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",500
hgaVi4sOHkM,S3 Storage in AWS | AWS Essentials,2024-08-27T12:00:47Z,8604,179,14,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 's3', 's3 buckets', 's3 tutorial', 'tutorial for s3', 's3 bucket tutorial']",878
YSjbGET6R1A,AWS Setup and UI Walkthough | AWS,2024-08-20T12:00:41Z,10228,266,15,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'aws setup', 'aws account', 'how to setup aws', 'aws ui', 'aws ui walkthrough']",441
vDVcXXfc9e8,Getting Started in Azure Synapse Analytics | Azure Fundamentals,2024-08-13T12:01:05Z,22274,325,14,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'azure', 'azure synapse', 'azure synapse analytics', 'synapse analytics tutorials', 'azure synapse tutorial']",1177
Vg6ys_JvXzg,August Q/A Livestream! Come Ask Me Anything!,2024-08-09T15:17:26Z,5301,223,18,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",5904
