,Video_Title,View_Count,Like_Count,Comment_Count
0,How to Lie with Data | Misleading Graphs,2842,199,17
1,Where to find the Best Healthcare Data,4750,279,18
2,1 Million Subscriber Livestream!! Giveaways + Chat,9480,676,68
3,"Taking a look at Real Healthcare Data | ICD11, CPT, HCPCS, Claims",6077,322,25
4,How to Become a Healthcare Analyst in 2025,18237,1003,72
5,What is Healthcare Analytics?,20170,1118,71
6,What is Data Cleaning? | Data Fundamentals for Beginners,11347,507,23
7,What is Data Collection? | Data Fundamentals for Beginners,8019,383,13
8,What are File Types? | Data Fundamentals for Beginners,6565,269,11
9,What are Data Types? | Data Fundamentals for Beginners,7527,345,18
10,What are KPIs and Metrics? | Data Fundamental for Beginners,12729,732,30
11,What is Data? | Data Fundamentals for Beginners,12191,695,29
12,Is Big Tech Overrated in 2025? | Alex The Analyst Show Episode 28,8360,291,65
13,Most Commonly Asked Questions by Aspiring Data Analysts,13326,672,34
14,My Career Progression 7+ Years | Recreational Therapist to Data Analyst | Alex The Analyst Show 27,7861,346,119
15,"Ultimate Data Analyst Bootcamp [24 Hours!] for FREE | SQL, Excel, Tableau, Power BI, Python, Azure",357153,17995,633
16,"Learn AWS for Analytics in Under 2 Hours | S3, Athena, Glue, Glue DataBrew, Quicksight",13663,471,30
17,"Learn Azure for Analytics in Under 90 Minutes | Azure Synapse Analytics, SQL Databases, ADF + More",11505,302,21
18,"Learn Power BI in Under 3 Hours | Formatting, Visualizations, Dashboards + Full Project",136549,2670,112
19,Coding with R and AI Now on Analyst Builder!,5440,176,16
20,"Learn Tableau in Under 2 hours | Dashboards, Relationships, Visualizations + Mini Project",57294,1275,51
21,"Learn Excel in Under 3 Hours | Pivot Tables, Lookups, Data Cleaning",46838,1348,60
22,Nobody cares... so just do it!,15997,1660,58
23,"Learn Pandas in Under 3 Hours | Filtering, Joins, Indexing, Data Cleaning, Visualizations",41371,1151,42
24,Free Data Analyst Bootcamp 2024,9784,908,37
25,"Learn Python in Under 3 Hours | Variables, For Loops, Web Scraping + Full Project",37104,1159,38
26,Learn SQL Beginner to Advanced in Under 4 Hours,404249,10559,407
27,AWS Quicksight | AWS Essentials,14410,238,8
28,AWS Glue DataBrew and Glue | AWS Essentials,7180,138,11
29,Amazon Athena in AWS | AWS Fundamentals,10779,214,9
30,Alex Freberg and Ben Rogojan Livestream | Everything Data Analytics and Data Engineering,5877,197,8
31,Landing a Data Job Course on Analyst Builder,23645,819,96
32,S3 Storage in AWS | AWS Essentials,7854,171,13
33,AWS Setup and UI Walkthough | AWS,9373,259,15
34,Getting Started in Azure Synapse Analytics | Azure Fundamentals,20332,297,14
35,August Q/A Livestream! Come Ask Me Anything!,5284,222,17
36,Getting Started in Azure Data Factory | Azure Fundamentals,24636,409,23
37,How to use Azure SQL Databases | Azure Fundamentals,29744,567,20
38,Complete Data Analyst Roadmap on Analyst Builder | Become a Data Analyst Faster!,52416,1499,161
39,Blob Storage and Storage Accounts in Azure | Azure Fundamentals,10224,199,10
40,Azure Account Setup + $200 Free Credits | Azure Fundamentals,17914,424,29
41,Building a Fully Interactive Web App using Shiny for Python,13307,358,24
